account,flag
a03596,0
a28801,0
a16185,0
a19873,1
a02999,0
a15769,0
a31233,1
a11746,0
a21169,1
a24257,0
a17091,1
a25569,0
a21715,0
a27197,0
a22838,0
a26280,0
a15698,0
a07606,0
a25853,0
a12680,1
a08209,1
a09946,1
a17644,0
a24532,0
a27373,0
a27949,0
a23682,0
a02759,1
a06952,0
a29810,0
a06628,0
a05203,0
a18045,0
a26794,0
a15579,0
a18722,0
a00704,0
a06361,0
a10143,0
a16660,0
a00024,0
a09384,0
a09792,0
a15581,0
a22006,0
a06638,0
a11179,0
a23644,0
a09017,1
a15000,0
a06700,1
a02875,0
a23715,1
a02458,0
a30815,0
a27250,0
a18074,0
a16547,0
a29770,0
a22703,0
a17878,0
a24405,0
a03114,0
a08955,0
a14917,0
a07339,0
a11155,0
a17750,0
a16527,0
a26021,0
a28968,0
a21982,0
a11436,0
a12526,0
a16912,0
a02683,1
a24518,0
a26811,1
a11938,0
a28728,0
a21159,0
a07078,0
a12093,0
a05800,0
a13310,0
a06140,0
a23019,0
a08676,0
a02292,0
a20115,0
a14393,0
a24614,1
a00864,0
a00838,0
a09393,0
a26013,1
a26496,0
a10939,0
a29879,0
a17484,0
a05794,0
a00271,0
a14414,0
a29959,0
a04790,0
a06894,0
a21164,0
a26268,1
a13501,0
a15696,0
a28477,0
a30299,0
a07354,0
a26425,0
a12508,0
a06205,0
a24749,0
a06767,0
a29033,0
a24269,0
a02820,0
a20528,1
a29313,0
a00765,0
a21162,0
a29896,0
a14860,0
a24656,0
a08985,0
a08590,1
a24397,0
a02823,0
a15986,0
a14564,1
a04012,0
a23113,0
a18055,0
a13674,0
a25391,0
a16565,0
a29536,0
a22430,0
a00634,0
a17625,0
a16515,1
a19635,0
a15880,0
a17382,0
a20382,0
a06365,0
a19774,0
a08559,0
a15648,0
a19650,0
a05062,0
a28080,0
a04892,0
a08454,0
a17364,0
a22327,0
a26223,0
a17168,0
a08270,0
a13848,0
a03164,0
a22534,0
a10559,0
a23389,0
a26206,0
a01687,0
a12626,0
a16028,0
a05194,0
a10128,0
a12012,0
a18478,0
a05207,0
a19924,0
a15306,0
a06219,0
a23597,0
a04391,0
a20201,0
a01092,0
a21864,0
a03286,0
a05691,0
a29361,0
a23131,0
a22142,0
a22584,0
a07182,0
a20171,0
a27746,0
a12284,0
a14117,0
a17409,0
a05999,0
a20664,1
a16805,0
a23417,0
a02684,0
a17417,0
a25558,0
a15441,0
